_id,product_name,price,category
"5899b8369ba2868af6d141d5","Apple IPhone 6","$630","Mobile Phone"
"5899b8369ba2868af6d141d6","Sony Vio","$1200","Laptop"
"5899b8369ba2868af6d141d7","Samsung T.V","$900","Electronics"
"5899b8369ba2868af6d141d8","Apple IPAD","$400","Tablet"
"5899b8369ba2868af6d141d9","MacBook Pro","$800","Laptop"
"5899b8369ba2868af6d141da","Dell Laptop","$620","Laptop"
"5899b8369ba2868af6d141db","Canon EOS 700D DSLR Camera","$400","Camera"
"5899b8369ba2868af6d141dc","Nikon D7100 DSLR Camera ","$440","Camera"
"5899b8369ba2868af6d141de","HTC Phone","$200","Mobile Phone"
"5899b8369ba2868af6d141df","LG Monitor","$500","Electronics"
"5899b8369ba2868af6d141e0","Samsung Printer","$320","Electronics"
"5899b8369ba2868af6d141e1","Samsung Gear Live Black - Made for Android","$250","Watch"
"5899b8369ba2868af6d141e2","Apple Watch","$380","Watch"
